ID ,Text,Sentiment_text,Sentiment_label
121,សេវាកម្មនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative,0.0
122,ខ្ញុំចូលចិត្តម៉ាកនេះជាពិសេស។,Positive,1.0
123,ការចាក់សម្លេងមានបញ្ហា។,Negative,0.0
124,សេវាកម្មមិនទាន់បំពេញតាមចិត្តទេ។,Negative,0.0
125,បទចម្រៀងនេះឆ្លៀតចិត្ត។,Positive,1.0
126,សេវាកម្មមិនទាន់បំពេញតាមចិត្តទេ។,Negative,0.0
127,ភាពយន្តនេះធុញទ្រាន់។,Negative,0.0
128,បទចម្រៀងនេះមិនមានអារម្មណ៍។,Negative,0.0
129,សេវាកម្មមិនទាន់បំពេញតាមចិត្តទេ។,Negative,0.0
130,ខ្ញុំមិនបានទទួលទំនិញតាមពេលកំណត់។,Negative,0.0
131,ការដឹកជញ្ជូនយឺត។,Negative,0.0
132,រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative,0.0
133,ផលិតផលនេះគុណភាពល្អណាស់។,Positive,1.0
134,គុណភាពទំនិញល្អណាស់។,Positive,1.0
135,ការដឹកជញ្ជូនយឺត។,Negative,0.0
136,ភាពយន្តនេះធុញទ្រាន់។,Negative,0.0
137,គុណភាពទំនិញមិនគួរជឿ។,Negative,0.0
138,រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative,0.0
139,បទថ្មីនេះមិនទាក់ចិត្ត។,Negative,0.0
140,ការដឹកជញ្ជូនលឿនល្អឥតខ្ចោះ។,Positive,1.0
141,ខ្ញុំបានទទួលទំនិញយ៉ាងឆាប់រហ័ស។,Positive,1.0
142,ខ្ញុំមិនបានទទួលទំនិញតាមពេលកំណត់។,Negative,0.0
143,រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative,0.0
144,រឿងថ្មីនេះល្អឥតខ្ចោះ។,Positive,1.0
145,ការទិញនៅលើគេហទំព័រមិនងាយស្រួល។,Negative,0.0
146,ការសម្តែងរបស់តារាសម្តែងគួរឱ្យសរសើរ។,Positive,1.0
147,ខ្ញុំមិនបានទទួលទំនិញតាមពេលកំណត់។,Negative,0.0
148,ការចាក់សម្លេងមានបញ្ហា។,Negative,0.0
149,រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative,0.0
150,ការចាក់សម្លេងមានបញ្ហា។,Negative,0.0
151,រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative,0.0
152,ការសម្តែងនៅលើឆាកធុញទ្រាន់។,Negative,0.0
153,បទចម្រៀងនេះមិនមានអារម្មណ៍។,Negative,0.0
154,ខ្ញុំបានទទួលទំនិញយ៉ាងឆាប់រហ័ស។,Positive,1.0
155,សេវាកម្មនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative,0.0
156,សេវាកម្មយ៉ាងល្អប្រសើរ។,Positive,1.0
157,រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative,0.0
158,ខ្ញុំមានបទពិសោធន៍ល្អជាមួយសេវាកម្មនេះ។,Positive,1.0
159,ភាពយន្តនេះល្អលើសការរំពឹងទុក។,Positive,1.0
160,ខ្ញុំបានទទួលទំនិញយ៉ាងឆាប់រហ័ស។,Positive,1.0
161,បទចម្រៀងនេះឆ្លៀតចិត្ត។,Positive,1.0
162,សេវាកម្មយ៉ាងល្អប្រសើរ។,Positive,1.0
163,បទចម្រៀងនេះប៉ះដល់ចិត្តយ៉ាងខ្លាំង។,Positive,1.0
164,រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative,0.0
165,ការបម្រើអតិថិជនយឺតខ្លាំង។,Negative,0.0
166,ការបម្រើអតិថិជននៅទីនេះគឺល្អឥតខ្ចោះ។,Positive,1.0
167,គុណភាពទំនិញល្អណាស់។,Positive,1.0
168,ខ្ញុំមិនពេញចិត្តជាមួយបទចម្រៀងនេះ។,Negative,0.0
169,បទចម្រៀងនេះឆ្លៀតចិត្ត។,Positive,1.0
170,សេវាកម្មនេះធ្វើឱ្យខ្ញុំមានអារម្មណ៍ពេញចិត្ត។,Positive,1.0
171,ខ្ញុំមានបទពិសោធន៍អាក្រក់ជាមួយសេវាកម្មនេះ។,Negative,0.0
172,ភាពយន្តនេះល្អលើសការរំពឹងទុក។,Positive,1.0
173,ខ្ញុំមានបទពិសោធន៍ល្អជាមួយសេវាកម្មនេះ។,Positive,1.0
174,រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative,0.0
175,ការដឹកជញ្ជូនយឺត។,Negative,0.0
176,បទចម្រៀងនេះប៉ះដល់ចិត្តយ៉ាងខ្លាំង។,Positive,1.0
177,ការសម្តែងរបស់តារាសម្តែងគួរឱ្យសរសើរ។,Positive,1.0
178,ការសម្តែងនៅលើឆាកធុញទ្រាន់។,Negative,0.0
179,ការទិញនៅលើគេហទំព័រយ៉ាងងាយស្រួល។,Positive,1.0
180,ការទិញនៅលើគេហទំព័រយ៉ាងងាយស្រួល។,Positive,1.0
181,ភាពយន្តនេះធុញទ្រាន់។,Negative,0.0
182,ភាពយន្តនេះធុញទ្រាន់។,Negative,0.0
183,សេវាកម្មនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative,0.0
184,បទចម្រៀងនេះប៉ះដល់ចិត្តយ៉ាងខ្លាំង។,Positive,1.0
185,ខ្ញុំមិនពេញចិត្តជាមួយបទចម្រៀងនេះ។,Negative,0.0
186,សេវាកម្មយ៉ាងល្អប្រសើរ។,Positive,1.0
187,បទចម្រៀងនេះមិនល្អ។,Negative,0.0
188,បទចម្រៀងនេះប៉ះដល់ចិត្តយ៉ាងខ្លាំង។,Positive,1.0
189,ខ្ញុំមិនបានទទួលទំនិញតាមពេលកំណត់។,Negative,0.0
190,ការបម្រើអតិថិជនយឺតខ្លាំង។,Negative,0.0
191,រឿងថ្មីនេះល្អឥតខ្ចោះ។,Positive,1.0
192,ខ្ញុំមានបទពិសោធន៍អាក្រក់ជាមួយសេវាកម្មនេះ។,Negative,0.0
193,ការទិញនៅលើគេហទំព័រយ៉ាងងាយស្រួល។,Positive,1.0
194,ខ្ញុំមានបទពិសោធន៍អាក្រក់ជាមួយសេវាកម្មនេះ។,Negative,0.0
195,ភាពយន្តនេះល្អលើសការរំពឹងទុក។,Positive,1.0
196,បរិយាកាសនៅហាងនេះល្អឥតខ្ចោះ។,Positive,1.0
197,ការសម្តែងនៅលើឆាកមិនអាចទាញយកភ្នែកចេញបាន។,Positive,1.0
198,បទថ្មីនេះមិនទាក់ចិត្ត។,Negative,0.0
199,បទចម្រៀងនេះមិនល្អ។,Negative,0.0
200,ភាពយន្តនេះធុញទ្រាន់។,Negative,0.0
201,ផលិតផលនេះគុណភាពទាប។,Negative,0.0
202,សេវាកម្មនេះធ្វើឱ្យខ្ញុំមានអារម្មណ៍ពេញចិត្ត។,Positive,1.0
203,ការដឹកជញ្ជូនយឺត។,Negative,0.0
204,បទថ្មីនេះមានទាស់។,Positive,1.0
205,ការសម្តែងរបស់តារាសម្តែងគ្មានគុណភាព។,Negative,0.0
206,ការដឹកជញ្ជូនយឺត។,Negative,0.0
207,ការសម្តែងនៅលើឆាកធុញទ្រាន់។,Negative,0.0
208,គុណភាពទំនិញល្អណាស់។,Positive,1.0
209,ការទិញនៅលើគេហទំព័រយ៉ាងងាយស្រួល។,Positive,1.0
210,បទថ្មីនេះមានទាស់។,Positive,1.0
211,ភាពយន្តនេះធុញទ្រាន់។,Negative,0.0
212,បទចម្រៀងនេះមិនល្អ។,Negative,0.0
213,ការបម្រើអតិថិជននៅទីនេះគឺល្អឥតខ្ចោះ។,Positive,1.0
214,បទចម្រៀងនេះឆ្លៀតចិត្ត។,Positive,1.0
215,ខ្ញុំមានបទពិសោធន៍អាក្រក់ជាមួយសេវាកម្មនេះ។,Negative,0.0
216,ខ្ញុំមិនពេញចិត្តជាមួយបទចម្រៀងនេះ។,Negative,0.0
217,បទចម្រៀងនេះមិនមានអារម្មណ៍។,Negative,0.0
218,ការទិញនៅលើគេហទំព័រមិនងាយស្រួល។,Negative,0.0
219,ការសម្តែងរបស់តារាសម្តែងគួរឱ្យសរសើរ។,Positive,1.0
220,ភាពយន្តនេះធុញទ្រាន់។,Negative,0.0
221,បរិយាកាសនៅហាងនេះល្អឥតខ្ចោះ។,Positive,1.0
222,ខ្ញុំមិនពេញចិត្តជាមួយបទចម្រៀងនេះ។,Negative,0.0
223,ការចាក់សម្លេងមានគុណភាពខ្ពស់។,Positive,1.0
224,ខ្ញុំមិនបានទទួលទំនិញតាមពេលកំណត់។,Negative,0.0
225,ខ្ញុំមានបទពិសោធន៍អាក្រក់ជាមួយសេវាកម្មនេះ។,Negative,0.0
226,ការសម្តែងរបស់តារាសម្តែងគួរឱ្យសរសើរ។,Positive,1.0
227,បទថ្មីនេះមានទាស់។,Positive,1.0
228,ខ្ញុំចូលចិត្តម៉ាកនេះជាពិសេស។,Positive,1.0
229,ការសម្តែងនៅលើឆាកធុញទ្រាន់។,Negative,0.0
230,ភាពយន្តនេះធុញទ្រាន់។,Negative,0.0
231,សេវាកម្មនេះធ្វើឱ្យខ្ញុំមានអារម្មណ៍ពេញចិត្ត។,Positive,1.0
232,ខ្ញុំពិតជាផ្អែមល្ហែមជាមួយបទចម្រៀងថ្មីនេះ។,Positive,1.0
233,ខ្ញុំចូលចិត្តម៉ាកនេះជាពិសេស។,Positive,1.0
234,ភាពយន្តនេះធុញទ្រាន់។,Negative,0.0
235,គុណភាពទំនិញល្អណាស់។,Positive,1.0
236,ផលិតផលនេះគុណភាពល្អណាស់។,Positive,1.0
237,ផលិតផលនេះគុណភាពទាប។,Negative,0.0
238,ការបម្រើអតិថិជនយឺតខ្លាំង។,Negative,0.0
239,ការទិញនៅលើគេហទំព័រមិនងាយស្រួល។,Negative,0.0
240,រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative,0.0
241,ផលិតផលនេះគុណភាពទាប។,Negative,0.0
242,ការចាក់សម្លេងមានគុណភាពខ្ពស់។,Positive,1.0
243,បទចម្រៀងនេះឆ្លៀតចិត្ត។,Positive,1.0
244,ខ្ញុំពិតជាផ្អែមល្ហែមជាមួយបទចម្រៀងថ្មីនេះ។,Positive,1.0
245,បទចម្រៀងនេះមិនល្អ។,Negative,0.0
246,ខ្ញុំមានបទពិសោធន៍អាក្រក់ជាមួយសេវាកម្មនេះ។,Negative,0.0
247,ខ្ញុំបានទទួលទំនិញយ៉ាងឆាប់រហ័ស។,Positive,1.0
248,ការទិញនៅលើគេហទំព័រយ៉ាងងាយស្រួល។,Positive,1.0
249,ការសម្តែងនៅលើឆាកមិនអាចទាញយកភ្នែកចេញបាន។,Positive,1.0
250,ខ្ញុំមិនបានទទួលទំនិញតាមពេលកំណត់។,Negative,0.0
251,រឿងថ្មីនេះល្អឥតខ្ចោះ។,Positive,1.0
252,បទថ្មីនេះមានទាស់។,Positive,1.0
253,ការសម្តែងនៅលើឆាកមិនអាចទាញយកភ្នែកចេញបាន។,Positive,1.0
254,សេវាកម្មនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative,0.0
255,ការចាក់សម្លេងមានគុណភាពខ្ពស់។,Positive,1.0
256,បទចម្រៀងនេះឆ្លៀតចិត្ត។,Positive,1.0
257,ការដឹកជញ្ជូនលឿនល្អឥតខ្ចោះ។,Positive,1.0
258,ការសម្តែងរបស់តារាសម្តែងគួរឱ្យសរសើរ។,Positive,1.0
259,ការសម្តែងរបស់តារាសម្តែងគ្មានគុណភាព។,Negative,0.0
260,ការបម្រើអតិថិជននៅទីនេះគឺល្អឥតខ្ចោះ។,Positive,1.0
261,បទចម្រៀងនេះប៉ះដល់ចិត្តយ៉ាងខ្លាំង។,Positive,1.0
262,បទថ្មីនេះមិនទាក់ចិត្ត។,Negative,0.0
263,ការបម្រើអតិថិជនយឺតខ្លាំង។,Negative,0.0
264,ម៉ាកនេះមិនគួរជឿទុកចិត្ត។,Negative,0.0
265,បទចម្រៀងនេះឆ្លៀតចិត្ត។,Positive,1.0
266,ខ្ញុំមានបទពិសោធន៍អាក្រក់ជាមួយសេវាកម្មនេះ។,Negative,0.0
267,ការសម្តែងនៅលើឆាកមិនអាចទាញយកភ្នែកចេញបាន។,Positive,1.0
268,ខ្ញុំមានបទពិសោធន៍ល្អជាមួយសេវាកម្មនេះ។,Positive,1.0
269,ភាពយន្តនេះធុញទ្រាន់។,Negative,0.0
270,ខ្ញុំចូលចិត្តម៉ាកនេះជាពិសេស។,Positive,1.0
271,បទថ្មីនេះមានទាស់។,Positive,1.0
272,បទចម្រៀងនេះឆ្លៀតចិត្ត។,Positive,1.0
273,ការសម្តែងរបស់តារាសម្តែងគ្មានគុណភាព។,Negative,0.0
274,សេវាកម្មមិនទាន់បំពេញតាមចិត្តទេ។,Negative,0.0
275,រឿងថ្មីនេះល្អឥតខ្ចោះ។,Positive,1.0
276,នំប៉័ងនេះមានរសជាតិឆ្ងាញ់ណាស់ ស្រស់ៗ និងមានក្លិនឈ្ងុយ,Positive,1.0
277,សេវាកម្មនៅហាងនេះគួរឱ្យខកចិត្តណាស់ បុគ្គលិកមិនសូវយកចិត្តទុកដាក់,Negative,0.0
278,ខ្សែភាពយន្តថ្មីនេះធ្វើបានល្អណាស់ តួសម្ដែងពូកែៗ រឿងរ៉ាវគួរឱ្យចាប់អារម្មណ៍,Positive,1.0
279,តម្លៃទំនិញថ្លៃពេក មិនសមនឹងគុណភាពទេ,Negative,0.0
281,កម្មវិធីតន្ត្រីមិនសូវពិរោះ អ្នកចម្រៀងច្រៀងមិនចំណង្វាក់,Negative,0.0
282,ទូរស័ព្ទថ្មីនេះប្រើប្រាស់ងាយស្រួល ថ្មល្អ កាមេរ៉ាច្បាស់,Positive,1.0
285,សម្លៀកបំពាក់គុណភាពអន់ ថ្លៃហើយរែកលុយមួយខែ,Negative,0.0
286,ជាងកាត់សក់មានជំនាញខ្ពស់ កាត់បានស្អាតត្រូវចិត្ត,Positive,1.0
287,តន្ត្រីកម្សាន្តនៅក្លឹបនេះពិរោះណាស់ បទចម្រៀងទាន់សម័យ,Positive,1.0
288,កាបូបថ្មីនេះគុណភាពល្អណាស់ ធន់ហើយស្អាត,Positive,1.0
289,សេវាកម្មអតិថិជនមិនល្អ រង់ចាំយូរពេក,Negative,0.0
290,កម្មវិធីទូរទស្សន៍នេះគួរឱ្យចាប់អារម្មណ៍ណាស់ មានការច្នៃប្រឌិតខ្ពស់,Positive,1.0
291,ស្មាតហ្វូននេះថ្មបានរយៈពេលខ្លីណាស់ មិនសមនឹងតម្លៃ,Negative,0.0
293,ភាពយន្តនេះធ្វើឱ្យខ្ញុំអស់សំណើច សម្តែងបានល្អណាស់,Positive,1.0
294,ទូរទស្សន៍ថ្មីនេះមានបញ្ហាច្រើន ត្រូវជួសជុលច្រើនដង,Negative,0.0
295,សេវាកម្មស្ប៉ាល្អណាស់ បុគ្គលិកមានជំនាញខ្ពស់,Positive,1.0
297,គុណភាពសម្លៀកបំពាក់ល្អណាស់ តម្លៃសមរម្យ,Positive,1.0
298,បុគ្គលិកធនាគារមិនសូវរួសរាយ ធ្វើការយឺតយ៉ាវ,Negative,0.0
299,កម្មវិធីប្រគំតន្ត្រីមិនសូវល្អ អ្នកចម្រៀងច្រៀងពាក់អត់សូវពិរោះ,Negative,0.0
300,ទូរស័ព្ទនេះមានមុខងារច្រើន ប្រើប្រាស់ងាយស្រួល,Positive,1.0
302,រឿងភាគថ្មីនេះគួរឱ្យចាប់អារម្មណ៍ តួឯកសម្តែងពូកែ,Positive,1.0
303,កាមេរ៉ាថ្មីនេះថតរូបមិនសូវច្បាស់ ប្រើការមិនបានយូរ,Negative,0.0
